Predictions,Lower Bound,Upper Bound
109.27298,105.85068,112.69528
109.21011,105.78781,112.632416
109.070984,105.64868,112.493286
108.89697,105.47467,112.319275
108.70552,105.28322,112.12782
108.49936,105.07706,111.92166
108.28519,104.862885,111.70749
108.066185,104.64388,111.48849
107.84568,104.42338,111.26798
107.633194,104.21089,111.0555
107.420715,103.99841,110.84302
107.209076,103.78677,110.63138
106.998604,103.5763,110.420906
106.78925,103.36695,110.211555
106.58156,103.159256,110.00386
106.37547,102.95317,109.797775
106.17133,102.74903,109.593636
105.96832,102.54602,109.390625
105.767334,102.34503,109.18964
105.56787,102.14557,108.99017
105.36966,101.94736,108.79196
105.17303,101.750725,108.59533
104.977745,101.55544,108.40005
104.78401,101.36171,108.206314
104.59175,101.16945,108.01405
104.4006,100.978294,107.8229
104.210594,100.78829,107.6329
104.02163,100.59933,107.44393
103.83383,100.41153,107.256134
103.64725,100.224945,107.06955
