Predictions,Lower Bound,Upper Bound
210.1336,202.75526,217.51195
210.18173,202.80339,217.56007
210.30664,202.9283,217.68498
210.39041,203.01207,217.76875
210.52132,203.14297,217.89966
210.636,203.25766,218.01434
210.78296,203.40462,218.1613
210.92863,203.5503,218.30698
211.09985,203.72151,218.4782
211.27943,203.9011,218.65778
211.48277,204.10443,218.86111
211.70166,204.32332,219.08
211.94559,204.56725,219.32393
212.21136,204.83302,219.5897
212.50568,205.12733,219.88402
212.82838,205.45004,220.20673
213.185,205.80666,220.56334
213.5775,206.19916,220.95584
214.01128,206.63293,221.38962
214.49013,207.11179,221.86847
215.01999,207.64165,222.39833
215.60652,208.22818,222.98486
216.25693,208.87859,223.63527
216.979,209.60066,224.35735
217.78204,210.4037,225.16039
218.67664,211.2983,226.05498
219.67523,212.29689,227.05357
220.79233,213.41399,228.17067
222.04507,214.66673,229.42342
223.45377,216.07542,230.8321
