Predictions,Lower Bound,Upper Bound
277.0942,212.44342,341.745
278.04993,213.39914,342.7007
279.52075,214.86996,344.17154
281.3579,216.70712,346.0087
283.46487,218.81409,348.11566
285.77853,221.12775,350.42932
288.26184,223.61105,352.91263
290.88522,226.23444,355.536
293.6299,228.97913,358.2807
296.48672,231.83594,361.1375
299.45273,234.80194,364.10352
302.53168,237.88089,367.18246
305.7287,241.07791,370.3795
309.0472,244.39642,373.698
312.4946,247.84381,377.1454
316.07303,251.42224,380.72382
319.79758,255.14679,384.44836
323.67712,259.02634,388.3279
327.7221,263.07132,392.3729
331.94415,267.29337,396.59494
336.35736,271.70657,401.00815
340.97754,276.32675,405.62833
345.82278,281.172,410.47357
350.9121,286.26132,415.5629
356.26743,291.61664,420.9182
361.9132,297.26242,426.564
367.87674,303.22595,432.52753
374.18857,309.53778,438.83936
380.88348,316.2327,445.53427
388.00095,323.35016,452.65173
