Predictions,Lower Bound,Upper Bound
139.60782,138.47516,140.74048
140.53258,139.39992,141.66524
141.09177,139.9591,142.22443
141.41737,140.28471,142.55003
141.59433,140.46167,142.72699
141.6695,140.53683,142.80215
141.68164,140.54898,142.8143
141.64891,140.51625,142.78157
141.59723,140.46457,142.72989
141.53673,140.40407,142.66939
141.46896,140.3363,142.60162
141.40013,140.26747,142.53279
141.23373,140.10107,142.3664
141.09183,139.95917,142.22449
140.96759,139.83493,142.10025
140.85611,139.72345,141.98877
140.75522,139.62256,141.88788
140.66467,139.53201,141.79733
140.62009,139.48743,141.75275
140.56772,139.43506,141.70038
140.51245,139.37979,141.64511
140.45699,139.32433,141.58965
140.40282,139.27016,141.53548
140.3508,139.21814,141.48346
140.30127,139.16861,141.43393
140.25443,139.12177,141.38708
140.21022,139.07756,141.34288
140.16856,139.0359,141.30122
140.12927,138.99661,141.26193
140.09232,138.95966,141.22498
