Predictions,Lower Bound,Upper Bound
95.08343,93.62486,96.54199
96.45915,95.00059,97.91772
97.37338,95.91482,98.83195
97.97034,96.51177,99.4289
98.35073,96.892166,99.809296
98.58367,97.12511,100.04224
98.71637,97.257805,100.174934
98.78094,97.32237,100.2395
98.79931,97.340744,100.25787
98.78691,97.32835,100.245476
98.7557,97.297134,100.214264
98.72651,97.267944,100.185074
98.687126,97.22856,100.14569
98.64161,97.183044,100.100174
98.592735,97.13417,100.0513
98.5424,97.08383,100.00096
98.4919,97.03333,99.95046
98.4421,96.983536,99.900665
98.393585,96.93502,99.85215
98.346725,96.88816,99.80529
98.30174,96.84318,99.76031
98.25877,96.80021,99.71734
98.21787,96.75931,99.67644
98.179,96.720436,99.637566
98.14196,96.683395,99.600525
98.1067,96.64813,99.56526
98.0731,96.61453,99.53166
98.04134,96.58278,99.49991
97.999435,96.54087,99.458
97.961876,96.50331,99.42044
