Predictions,Lower Bound,Upper Bound
62.719326,56.62616,68.81249
62.90352,56.81035,68.99669
62.54717,56.454002,68.640335
61.911186,55.818016,68.00436
61.14476,55.05159,67.23793
60.335136,54.241966,66.42831
59.533348,53.440178,65.62652
58.768776,52.675606,64.861946
58.058113,51.964943,64.15128
57.41029,51.317123,63.503456
56.829075,50.73591,62.92224
56.31474,50.221573,62.407906
55.865067,49.771896,61.958237
55.476566,49.3834,61.569733
55.14493,49.051765,61.2381
54.865295,48.772125,60.958466
54.632565,48.5394,60.72573
54.441628,48.348457,60.534798
54.287502,48.194336,60.38067
54.165375,48.072205,60.258545
54.070793,47.977623,60.163963
53.999638,47.90647,60.092804
53.949337,47.85617,60.042503
53.9142,47.82103,60.00737
53.89157,47.7984,59.98474
53.879135,47.785965,59.972305
53.874878,47.781708,59.96805
53.877037,47.783867,59.970207
53.883816,47.79065,59.976982
53.89434,47.80117,59.98751
