Predictions,Lower Bound,Upper Bound
196.74463,180.45514,213.03412
192.95616,176.66667,209.24565
187.35136,171.06187,203.64085
185.10777,168.81828,201.39726
182.71432,166.42484,199.00381
180.25148,163.96199,196.54097
178.3156,162.02611,194.60509
176.64485,160.35536,192.93434
175.16156,158.87207,191.45105
173.89688,157.60739,190.18637
172.81392,156.52443,189.10341
171.88147,155.59198,188.17096
171.08356,154.79407,187.37305
170.39514,154.10565,186.68463
169.77318,153.48369,186.06267
169.22418,152.9347,185.51367
168.74017,152.45068,185.02966
168.312,152.0225,184.60149
167.93425,151.64476,184.22374
167.60127,151.31178,183.89076
167.30783,151.01834,183.59732
167.04941,150.75992,183.3389
166.82198,150.53249,183.11147
166.62175,150.33226,182.91124
166.44513,150.15564,182.73462
166.28957,150.00008,182.57906
166.14967,149.86018,182.43916
166.02301,149.73352,182.3125
165.90904,149.61955,182.19853
165.80637,149.51688,182.09586
