Predictions,Lower Bound,Upper Bound
157.32733,115.720436,198.93423
142.40883,100.80193,184.01572
126.4334,84.82651,168.0403
122.66525,81.05836,164.27216
116.423615,74.81672,158.03052
112.98267,71.37578,154.58957
108.801476,67.19458,150.40837
105.61178,64.00488,147.21867
102.36933,60.762436,143.97623
99.61089,58.003998,141.21779
97.002174,55.39528,138.60907
94.72676,53.119865,136.33365
92.663,51.056107,134.2699
90.81389,49.206993,132.42078
89.08861,47.481712,130.6955
87.49879,45.89189,129.10568
85.97828,44.371384,127.585175
84.55389,42.94699,126.16078
83.196,41.589104,124.802895
81.89852,40.291626,123.50542
80.6541,39.047203,122.260994
79.431274,37.82438,121.03817
78.266205,36.65931,119.8731
77.14131,35.534416,118.74821
76.05665,34.449753,117.66354
75.00997,33.403076,116.61687
73.960175,32.35328,115.56707
72.92672,31.319824,114.533615
71.865715,30.25882,113.47261
70.785645,29.17875,112.39254
