Predictions,Lower Bound,Upper Bound
107.29132,69.83501,144.74763
121.90476,84.44844,159.36108
131.82248,94.366165,169.2788
137.8523,100.39598,175.30861
140.13243,102.67612,177.58875
138.69073,101.23442,176.14705
133.974,96.517685,171.43031
126.629196,89.17288,164.08551
117.57835,80.122025,155.03467
108.50902,71.052704,145.96533
100.211784,62.755466,137.6681
93.307,55.85068,130.76332
88.65158,51.195263,126.107895
85.129944,47.673626,122.58626
82.80756,45.351246,120.263885
81.73028,44.27396,119.1866
81.72014,44.26382,119.17645
82.555084,45.098766,120.0114
84.24496,46.78864,121.70128
86.69109,49.234776,124.147415
90.001884,52.545567,127.458206
93.92077,56.46445,131.37709
98.36698,60.910664,135.8233
103.071205,65.61488,140.52753
107.93265,70.47633,145.38896
112.663345,75.20703,150.11966
116.994675,79.53836,154.45099
120.47402,83.0177,157.93034
122.85059,85.39427,160.30692
123.92514,86.46883,161.38145
