Predictions,Lower Bound,Upper Bound
97.505486,67.39385,127.61712
98.097,67.98537,128.20863
99.10157,68.98994,129.21321
100.42045,70.308815,130.53209
101.98187,71.87024,132.0935
103.69864,73.587006,133.81027
105.52901,75.41737,135.64064
107.455605,77.34397,137.56725
109.43886,79.327225,139.55049
111.44064,81.32901,141.55228
113.42958,83.31795,143.54121
115.37815,85.26652,145.48979
117.23507,87.123436,147.34671
119.05193,88.9403,149.16357
121.10649,90.99486,151.21812
123.131165,93.01953,153.2428
125.10338,94.991745,155.21501
127.030945,96.91931,157.14258
128.89177,98.780136,159.0034
130.68701,100.57538,160.79865
132.42456,102.31293,162.5362
134.12527,104.01364,164.23691
135.74782,105.636185,165.85945
137.30386,107.19223,167.4155
138.78711,108.675476,168.89874
140.20113,110.08949,170.31276
141.54906,111.43742,171.66069
142.81247,112.700836,172.9241
144.01167,113.90004,174.1233
145.15224,115.0406,175.26387
