Predictions,Lower Bound,Upper Bound
72.26196,58.973606,85.550316
72.46928,59.18092,85.75763
72.839005,59.550648,86.12736
73.3359,60.047543,86.62425
73.93481,60.64645,87.22316
74.60845,61.320095,87.896805
75.31472,62.026363,88.60307
76.04163,62.753277,89.32999
76.74504,63.456684,90.033394
77.33654,64.04819,90.62489
78.06983,64.78148,91.358185
78.81806,65.52971,92.106415
79.5801,66.29175,92.868454
80.364555,67.0762,93.65291
81.15508,67.86673,94.443436
81.95822,68.66987,95.246574
82.77625,69.4879,96.064606
83.6164,70.32805,96.904755
84.46833,71.17998,97.75668
85.31817,72.029816,98.60652
86.180885,72.89253,99.46924
87.05173,73.763374,100.34008
87.93814,74.64979,101.226494
88.83221,75.54385,102.12056
89.72133,76.432976,103.00968
90.60439,77.31604,103.892746
91.491455,78.2031,104.77981
92.37378,79.08543,105.66213
93.25829,79.96994,106.546646
94.12878,80.84042,107.41713
