Predictions,Lower Bound,Upper Bound
51.173264,42.11995,60.226578
51.29674,42.24343,60.35005
51.563515,42.5102,60.61683
51.915947,42.862633,60.96926
52.32574,43.27243,61.37905
52.771633,43.718323,61.824944
53.210083,44.15677,62.263397
53.664036,44.610725,62.717346
54.127037,45.073723,63.18035
54.593468,45.540154,63.646782
55.058792,46.005478,64.11211
55.530643,46.477333,64.583954
56.012318,46.959007,65.06563
56.50378,47.45047,65.55709
57.00501,47.9517,66.05832
57.51558,48.462265,66.56889
58.038013,48.984703,67.091324
58.575684,49.52237,67.629
59.132214,50.078903,68.185524
59.70315,50.64984,68.75646
60.29914,51.245827,69.352455
60.91558,51.862267,69.968895
61.550667,52.497353,70.60398
62.204773,53.15146,71.25809
62.877224,53.823914,71.930534
63.566505,54.51319,72.61982
64.26936,55.21605,73.32268
64.98257,55.929253,74.03588
65.70441,56.651093,74.75772
66.43339,57.380074,75.4867
