Predictions,Lower Bound,Upper Bound
174.52322,128.85973,220.18672
176.08476,130.42126,221.74826
178.61992,132.95642,224.28342
163.44005,117.77655,209.10355
161.59413,115.93063,207.25763
157.65565,111.99216,203.31915
151.32784,105.66434,196.99133
148.24582,102.58232,193.90932
144.31137,98.64787,189.97487
140.47658,94.81308,186.14008
137.4505,91.787,183.114
134.32216,88.65866,179.98566
131.47229,85.80879,177.13579
128.92628,83.26279,174.58978
126.44196,80.77846,172.10547
124.11373,78.450226,169.77724
121.91951,76.25601,167.58301
119.84208,74.17857,165.50558
117.86616,72.20265,163.52966
116.0028,70.339294,161.6663
114.219406,68.55591,159.8829
112.52635,66.862854,158.18985
110.916565,65.25307,156.58006
109.39207,63.728565,155.05557
107.95344,62.289936,153.61694
106.58636,60.922855,152.24986
105.23719,59.57369,150.9007
103.95461,58.29111,149.61812
102.72611,57.06261,148.38962
101.541405,55.877903,147.20491
