Predictions,Lower Bound,Upper Bound
136.40329,113.54866,159.25792
135.64445,112.789825,158.49908
134.3444,111.48978,157.19904
132.70891,109.85428,155.56354
130.88277,108.02814,153.7374
128.63687,105.78224,151.4915
126.62915,103.77452,149.48378
124.858475,102.003845,147.7131
122.936295,100.081665,145.79092
120.901405,98.046776,143.75604
119.107185,96.252556,141.96182
117.684425,94.829796,140.53906
116.15175,93.29712,139.00638
114.70698,91.85235,137.56161
113.32981,90.47518,136.18445
112.02707,89.17244,134.8817
110.79459,87.939964,133.64923
109.622,86.76737,132.47662
108.516266,85.66164,131.3709
107.470146,84.61552,130.32477
106.47968,83.62505,129.33432
105.537346,82.68272,128.39197
104.639534,81.784904,127.49416
103.78289,80.92826,126.63752
102.96773,80.1131,125.82236
102.19148,79.33685,125.04611
101.45168,78.59705,124.30631
100.74596,77.89133,123.600586
100.073586,77.218956,122.928215
99.43235,76.57772,122.28698
