Predictions,Lower Bound,Upper Bound
57.609165,51.072525,64.145805
57.83069,51.294052,64.367325
58.30614,51.7695,64.84278
58.886345,52.34971,65.42298
59.49706,52.96042,66.0337
60.102894,53.566254,66.639534
60.692253,54.155617,67.22889
61.26824,54.731606,67.80488
61.805035,55.268394,68.341675
62.3003,55.763664,68.83694
62.75826,56.22162,69.2949
63.17637,56.639732,69.713005
63.599415,57.062775,70.136055
63.90433,57.36769,70.44097
64.28101,57.744377,70.81765
64.635124,58.098488,71.17176
64.97371,58.437073,71.510345
65.29942,58.762787,71.83606
65.6159,59.07926,72.152534
65.92263,59.385994,72.45927
66.220245,59.68361,72.75688
66.50945,59.972816,73.04609
66.79149,60.254852,73.328125
67.065125,60.52849,73.60176
67.330894,60.79426,73.86753
67.58935,61.05271,74.125984
67.83988,61.303246,74.37652
68.08274,61.546104,74.61938
68.31961,61.782974,74.85625
68.54879,62.012154,75.08543
